"";"word1";"word2";"n"
"1";"lei";"aldir_blanc";11259
"2";"setor";"cultura";560
"3";"pl";"795";494
"4";"auxilio";"emergencial";429
"5";"derrubavetolei";"aldir_blanc";404
"6";"aldir";"blanc";370
"7";"lei";"aldir";368
"8";"governo";"federal";302
"9";"emergencia";"cultura";277
"10";"795";"21";269
"11";"14";"017";267
"12";"lei";"paulo_gustavo";258
"13";"cultura";"aldir_blanc";250
"14";"cultura";"lei";248
"15";NA;NA;228
"16";"via";"youtube";220
"17";"santa";"catarina";203
"18";"aldir_blanc";"2";199
"19";"lei";"rouanet";187
"20";"795";"2021";183
"21";"017";"2020";177
"22";"secretaria";"especial";177
"23";"lei";"federal";163
"24";"congresso";"nacional";159
"25";"jose";"augusto";154
"26";"aldir_blanc";"via";153
"27";"projeto";"contemplado";153
"28";"projeto";"cultura";149
"29";"via";"lei";145
"30";"aldir_blanc";"nao";144
"31";"fundacao";"jose";144
"32";"2020";"lei";143
"33";"covid";"19";143
"34";"recursos";"remanescentes";142
"35";"novos";"edital";141
"36";"labprorrogapravaler";"maistempoparacultura";137
"37";"aldir_blanc";"lei";134
"38";"via";"blogdrocha";128
"39";"ano";"passado";121
"40";"secult";"ap";120
"41";"edital";"aldir_blanc";116
"42";"800";"milhoes";114
"43";"espacos";"cultura";111
"44";"segunda";"fase";105
"45";"camara";"aprova";103
"46";"by";"herdersonfile";100
"47";"milhoes";"d";99
"48";"maistempoparacultura";"soscultura";98
"49";"catarina";"fraude";94
"50";"aprova";"projeto";93
"51";"projeto";"contemplados";91
"52";"classe";"artistica";89
"53";"cultura";"brasileira";89
"54";"jandira";"feghali";89
"55";"aldir_blanc";"2021";88
"56";"federal";"14";88
"57";"aprova";"pl";87
"58";"sera";"lancado";86
"59";"neste";"sabado";83
"60";"aldir_blanc";"cultura";82
"61";"3";"bilhoes";80
"62";"ainda";"nao";80
"63";"nao";"ha";80
"64";"turismo";"governo";80
"65";"mario";"frias";79
"66";"redes";"sociais";79
"67";"plena";"utilizacao";78
"68";"apoio";"financeiro";77
"69";"novo";"edital";77
"70";"prorroga";"auxilio";76
"71";"fatimabezerra";"crispinianoneto";74
"72";"nesta";"terca_feira";73
"73";"smcel";"lei";73
"74";"abre";"inscricoes";72
"75";"aldir_blanc";"saberesefazerescultura";72
"76";"desgovernadora";"fatao";72
"77";"n�";"14";72
"78";"violencia";"psicologica";72
"79";"economia";"criativa";71
"80";"2021";"prorrogacao";70
"81";"youtube";"lei";70
"82";"aldir_blanc";"vai";69
"83";"bom";"dia";69
"84";"audiencia";"publica";68
"85";"fundacao";"cultura";68
"86";"10";"2020";67
"87";"alexandre";"nero";67
"88";"projeto";"aprovados";67
"89";"nao";"empenhados";66
"90";"resultado";"final";66
"91";"nesta";"sexta_feira";65
"92";"aldir_blanc";"edital";64
"93";"secretaria";"municipal";64
"94";"gravatai";"rs";63
"95";"augusto";"cade";62
"96";"lei";"14";62
"97";"smcelgravatai";"prefgravatai";62
"98";"digasimaprorrogacao";"labprorrogapravaler";61
"99";"lanca";"edital";61
"100";"prefgravatai";"smcel";61
"101";"projeto";"selecionado";60
"102";"rs";"smcelgravatai";59
"103";"brasil";"derrubavetolei";58
"104";"aldir_blanc";"sedacrs";57
"105";"alice";"portugal";57
"106";"bahia";"atraves";57
"107";"prorroga";"prazo";57
"108";"aldir_blanc";"sao";56
"109";"area";"cultura";56
"110";"brazil";"nao";56
"111";"programa";"aldir_blanc";56
"112";"sedacrs";"fundacaomarcopolo";56
"113";"1";"ano";55
"114";"2021";"derrubavetolei";55
"115";"aldir_blanc";"bahia";55
"116";"meia";"duzia";55
"117";"pandemia";"nao";55
"118";"precisa";"derrubar";55
"119";"senado";"aprova";55
"120";"aldir_blanc";"projeto";54
"121";"cofres";"publicos";54
"122";"01";"06";53
